id,age,birthdate,sex,salary,size,breakfast,lunch,dinner,late,taste,price,service,clean,at,location,facebook,twitter,instagram,line,japanese,thai,diet,shabu,grill,steak,fastfood,cake,dessert,coffee,juice,created_at,user_id
1,21,1996-07-19,male,"น้อยกว่า 10,000",fit,f,t,t,f,t,t,t,t,t,f,t,t,t,t,f,f,t,f,f,t,t,t,t,f,t,2018-02-12 10:15:15.007524+00,4
2,20,1998-02-13,female,"น้อยกว่า 10,000",thin,f,t,t,t,t,f,t,t,f,t,f,t,t,t,f,f,f,f,f,f,t,t,f,f,f,2018-02-18 04:35:55.301258+00,23
3,22,1995-10-15,female,"น้อยกว่า 10,000",fat,f,t,t,f,t,t,t,f,f,t,t,t,t,t,f,t,f,f,f,t,t,f,t,f,t,2018-02-19 10:21:34.195126+00,29
4,19,1999-02-09,male,"น้อยกว่า 10,000",chubby,t,t,t,f,t,t,f,t,f,t,t,t,f,t,f,t,f,f,f,f,f,f,t,t,t,2018-02-19 11:03:40.193844+00,30
5,18,1999-05-05,female,"น้อยกว่า 10,000",fat,t,t,t,t,t,t,f,f,f,t,t,t,t,t,f,t,t,f,f,t,t,t,t,f,t,2018-02-19 11:11:51.049498+00,31
6,19,1998-07-01,female,"น้อยกว่า 10,000",fat,f,f,t,t,t,t,f,f,f,f,t,f,t,t,f,f,f,f,f,f,f,f,t,f,t,2018-02-19 14:45:47.380248+00,32
7,20,1998-01-01,female,"น้อยกว่า 10,000",chubby,t,t,t,f,t,t,t,f,t,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,2018-02-20 01:44:25.556931+00,36
8,19,1999-01-14,female,"น้อยกว่า 10,000",fit,f,t,t,f,t,t,f,f,t,f,f,t,f,t,f,t,f,t,t,t,f,t,t,t,t,2018-02-20 08:32:12.79581+00,39
9,21,1996-03-22,male,"10,000-19,999",chubby,t,t,t,t,t,t,t,t,f,t,t,f,f,f,f,f,t,f,f,t,f,t,t,t,t,2018-02-20 13:56:40.167276+00,46
10,19,1998-11-02,male,"น้อยกว่า 10,000",fat,t,t,t,t,t,t,f,f,f,f,t,f,t,t,f,t,t,t,t,t,t,t,t,t,t,2018-02-20 14:21:37.204224+00,48
11,47,1971-02-08,female,"30,000-39,999",chubby,t,t,t,t,t,t,t,t,t,t,f,f,f,t,f,t,t,f,f,t,t,t,t,t,t,2018-02-20 15:58:50.614638+00,50
12,22,1995-10-11,female,"น้อยกว่า 10,000",chubby,t,t,t,f,t,t,t,t,t,t,t,f,t,t,f,t,t,f,f,f,f,f,f,f,t,2018-02-21 08:29:49.160515+00,52
13,22,1995-11-06,female,"น้อยกว่า 10,000",fit,f,t,t,t,t,t,t,t,f,t,f,f,f,t,f,t,f,f,f,t,t,t,t,t,t,2018-02-21 10:25:02.947878+00,53
14,22,1995-12-18,male,"น้อยกว่า 10,000",thin,f,t,t,t,t,f,t,t,f,f,t,f,t,t,f,t,t,t,t,t,t,t,t,f,f,2018-02-21 13:20:24.62575+00,55
15,20,1998-01-17,female,"น้อยกว่า 10,000",chubby,t,t,t,t,t,t,t,t,t,t,f,f,t,t,f,t,f,t,t,t,t,t,t,t,t,2018-02-21 14:53:20.540562+00,57
16,19,1998-10-03,female,"น้อยกว่า 10,000",chubby,f,t,t,t,t,f,f,t,f,t,t,t,t,t,f,t,f,f,f,t,f,f,f,f,t,2018-02-21 23:23:09.17345+00,58
17,19,1998-04-29,female,"น้อยกว่า 10,000",chubby,t,t,t,t,t,t,t,t,f,t,t,t,f,t,f,t,f,f,f,t,t,f,t,f,t,2018-02-22 07:59:00.809793+00,59
18,0,2018-01-27,female,"น้อยกว่า 10,000",thin,f,t,t,t,t,t,t,t,t,t,f,f,t,t,f,t,f,f,f,t,t,t,t,f,t,2018-02-22 08:22:42.479472+00,60
19,19,1999-02-04,female,"น้อยกว่า 10,000",fat,t,t,t,t,t,t,t,t,f,f,f,t,f,f,f,t,f,t,t,f,t,f,f,t,t,2018-02-22 10:24:15.432776+00,62
21,22,1995-08-12,male,"น้อยกว่า 10,000",thin,t,t,t,t,f,t,f,f,f,t,t,f,t,t,f,f,f,f,f,f,f,f,t,f,t,2018-02-22 14:28:46.990296+00,64
22,21,1996-12-19,female,"น้อยกว่า 10,000",chubby,t,t,t,f,t,t,f,t,f,f,f,f,t,t,f,t,f,f,f,t,f,t,f,t,t,2018-02-23 09:38:44.846886+00,65
23,21,1997-01-24,female,"น้อยกว่า 10,000",fat,t,t,t,t,t,f,t,f,f,f,f,f,t,t,f,t,f,f,f,f,f,t,t,f,t,2018-02-23 12:02:58.919523+00,37
24,20,1997-03-08,female,"น้อยกว่า 10,000",chubby,t,t,t,t,t,t,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,t,2018-02-23 13:55:36.251+00,54
25,22,1995-11-17,male,"น้อยกว่า 10,000",chubby,t,t,t,t,t,t,t,t,f,f,t,t,t,t,f,t,t,f,f,f,f,f,f,f,f,2018-02-23 14:54:43.330715+00,66
26,19,1998-09-13,female,"น้อยกว่า 10,000",fit,f,t,t,t,t,t,t,f,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,f,2018-02-23 16:51:05.857093+00,67
27,19,1998-11-16,female,"น้อยกว่า 10,000",fit,f,t,t,t,t,t,f,t,f,t,t,t,t,t,f,t,f,f,f,f,t,f,f,t,f,2018-02-23 18:59:31.276365+00,68
28,20,1997-03-21,female,"น้อยกว่า 10,000",chubby,t,t,t,f,t,t,t,t,f,f,f,t,f,f,f,t,f,f,f,f,f,f,t,f,f,2018-02-24 10:12:05.689265+00,71
29,21,1996-10-31,female,"10,000-19,999",fit,t,t,t,t,t,t,t,t,f,t,t,f,t,t,f,t,f,f,f,f,f,t,t,f,f,2018-02-24 10:38:29.154753+00,73
30,23,1994-07-26,female,"น้อยกว่า 10,000",fit,t,t,t,f,t,t,f,t,f,f,t,f,t,t,f,f,t,f,f,t,f,f,f,t,f,2018-02-24 11:53:40.025153+00,74
31,18,1999-04-18,female,"น้อยกว่า 10,000",fit,f,t,t,t,t,t,t,t,t,t,t,t,t,t,f,f,f,f,f,f,f,f,t,f,f,2018-02-24 12:41:22.773753+00,76
32,21,1996-06-04,female,"น้อยกว่า 10,000",fat,f,f,t,f,t,t,f,f,f,f,f,t,t,f,f,t,f,f,f,t,t,f,f,f,f,2018-02-25 09:57:52.016349+00,70
33,20,1997-07-17,male,"น้อยกว่า 10,000",chubby,f,t,t,t,t,t,f,f,f,t,t,f,f,f,f,f,f,t,t,t,f,t,t,f,t,2018-02-25 10:38:53.118845+00,80
34,21,1996-08-13,female,"10,000-19,999",fit,f,t,t,t,t,t,t,t,t,t,f,f,t,f,f,t,f,f,f,t,t,f,t,f,t,2018-02-25 11:20:29.241606+00,81
35,20,1998-01-17,female,"น้อยกว่า 10,000",fit,t,t,t,t,t,t,f,t,t,t,t,t,t,t,f,t,f,f,f,t,f,t,t,f,t,2018-02-26 02:55:20.800338+00,85
36,21,1996-11-10,female,"น้อยกว่า 10,000",thin,f,t,t,t,t,t,f,t,f,f,t,t,t,t,f,f,f,f,f,t,t,f,f,f,t,2018-02-26 10:29:07.012142+00,86
37,21,1996-09-30,female,"น้อยกว่า 10,000",fit,f,t,t,f,t,t,t,t,t,t,t,t,t,t,f,t,t,f,f,t,t,t,t,f,t,2018-02-26 11:14:55.454084+00,87
38,19,1998-09-04,female,"น้อยกว่า 10,000",chubby,f,t,t,t,t,t,t,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-02-26 13:20:56.388589+00,88
40,18,1999-05-01,female,"น้อยกว่า 10,000",thin,f,t,t,t,t,t,t,t,t,t,f,f,f,t,f,t,f,f,f,t,t,t,f,f,f,2018-02-27 03:35:11.849489+00,90
41,22,1995-08-26,female,"น้อยกว่า 10,000",fit,f,t,t,f,t,t,f,t,f,f,f,t,f,f,f,t,f,f,f,t,f,f,f,f,t,2018-02-27 09:45:19.855527+00,91
